"FOODNAME"
"SUGAR"
"FRUCTOSE"
"SYRUP"
"HONEY"
"SWEET, CANDY"
"CHOCOLATE, AVERAGE"
"CHOCOLATE CONFECTION FILLED WITH MARMALADE"
"LIQUORICE, LICORICE"
"JELLY CANDY, FRUIT JELLY"
"MARZIPAN, ALMOND PASTE"
"TOFFEE"
"SALTY LIQOURICE PASTILLE"
"CHOCOLATE BAR, AVERAGE"
"COCOA POWDER, UNSWEETENED"
"COCOA POWDER WITH SUGAR"
"SORBITOL"
"GELATIN"
"BAKING YEAST, FRESH"
"FLOUR, CORNSTARCH, CORNFLOUR"
"MUSTARD"
"MEAT BOUILLON"
"SALT, IODISED"
"SOY SAUCE"
"CHOCOLATE, PLAIN, DARK CHOCOLATE"
"CHOCOLATE, MILK CHOCOLATE"
"HALVA MADE WITH SESAME SEEDS AND SUGAR"
"SWEET, CANDY, SUGAR-FREE"
"SALT, LOW SODIUM"
"CHOCOLATE, ARTIFICIALLY SWEETENED"
"MEAT BOUILLON POWDER/CUBE"
"SWEETENER, ASPARTAM, POWDER"
"CEREAL BAR WITH FIBRE"
"RYE MALT"
"CHOCOLATE BAR WITH FILLING, AVERAGE"
"PASTILLE SWEETENED WITH XYLITOL"
"CHOCOLATE BAR, LOW-FAT"
"CHEWING GUM, XYLITOL SWEETENED"
"CHEWING GUM"
"BARLEY STARCH"
"FRUIT PASTILLE WITH GUM ARABIC"
"SWEETENER, SACCHARIN"
"RAISIN OR DRIED FRUIT COATED WITH YOGHURT"
"BAKING POWDER"
"FISH STOCK BROTH"
"SALT, ROCK SALT, WITHOUT IODINE"
"FLOUR, RYE, WHOLEGRAIN RYE FLOUR"
"RYE FLAKES"
"FLOUR, WHEAT FLOUR, SEMI-COARSE"
"FLOUR, WHOLE WHEAT FLOUR, GRAHAM FLOUR"
"SEMOLINA"
"SEMOLINA, WHOLE WHEAT"
"WHEAT FLAKES"
"WHEAT GERM"
"WHEAT BRAN"
"MACARONI, PASTA"
"MACARONI, WHOLE WHEAT"
"NOODLE, WHEAT"
"PASTA, SPAGHETTI, MACARONI"
"MACARONI, DARK, BOILED WITHOUT SALT"
"FLOUR, DARK WHEAT FLOUR"
"FLOUR MIXTURE, FOR BREAD ROLLS, WHEAT FLOUR, WHEAT GROATS, RYE"
"FLOUR, BREADCRUMBS"
"WAFER, ICE CREAM CONE"
"FLOUR, WHEAT FLOUR, SEMI-COARSE, BAKERY INDUSTRY, FRESH"
"FLOUR, BARLEY FLOUR"
"BARLEY, PEARL"
"BARLEY, ROLLED, BARLEY FLAKES"
"OATS, ROLLED, OAT FLAKES"
"FLOUR MIXTURE, TALKKUNA POWDER, ROASTED BARLEY, RYE, OAT, PEA"
"RICE, WHITE"
"RICE, WHOLEGRAIN"
"FLOUR, MILLET, WHOLE OR CRUSHED GRAINS"
"FLOUR, BUCKWHEAT, WHOLE OR CRUSHED GRAINS"
"FLOUR, POTATO STARCH, POTATO FLOUR"
"BREAKFAST CEREAL, CORN FLAKES"
"MAIZE, KERNEL, DRIED, UNPOPPED"
"MALT FOR BEER"
"OAT BRAN"
"SPAGHETTI SPINACH, CONTAINS EGG"
"OAT MACARONI, CONTAINS WHEAT AND OATS"
"WHEAT GRAIN, CRUSHED"
"RYE GRAIN, CRUSHED"
"RICE, NATURAL RICE, MIXED RICE AND WILD RICE, BOILED WITHOUT SALT"
"FLOUR, RICE FLOUR, RICE FLAKE"
"FLOUR, RICE FLOUR, WHOLE GRAIN"
"TORTILLA CHIPS, TACO SHELL"
"FLOUR MIXTURE, GLUTEN-FREE, CONTAINS WHEAT STARCH"
"PASTA, SPAGHETTI, SPINACH, BOILED WITHOUT SALT"
"MACARONI, BOILED, OIL"
"PASTA, SPAGHETTI, BOILED, OIL, WITHOUT SALT"
"FLOUR MIXTURE, RYE, WHEAT"
"OAT MACARONI, BOILED, NO ADDED SALT"
"OAT MACARONI, BOILED, ADDED OIL"
"POTATO, DRIED"
"POTATO CRISPS, POTATO CHIPS, POTATO SNACK"
"POTATO, NEW"
"POTATO, PEELED"
"MASHED POTATO POWDER"
"FRENCH FRIES, FROZEN"
"POTATOFLAKE"
"CARROT"
"CARROT, DRIED"
"SWEDE, RUTABAGA"
"TURNIP"
"BEETROOT, RED BEET"
"BEETROOT, PICKLED"
"RADISH"
"PARSNIP"
"JERUSALEM ARTICHOKE"
"CELERIAC, TURNIP-ROOTED CELERY, KNOB CELERY, CELERY ROOT"
"BLACK SALSIFY"
"FROZEN VEGETABLE MIX, ROOT VEGETABLES, CARROT-SWEDE-CELERIAC-LEEK"
"WHITE CABBAGE"
"RED CABBAGE"
"CAULIFLOWER"
"BROCCOLI"
"KALE"
"BRUSSELS SPROUT"
"KOHLRABI"
"LETTUCE"
"ICEBERG LETTUCE"
"PARSLEY"
"NETTLE, STINGING NETTLE"
"ONION"
"ONION, DRIED"
"LEEK"
"RHUBARB"
"CELERY"
"ASPARAGUS, CANNED"
"MUSHROOM, BOLETUS, RUSSULA"
"MUSHROOM, MILK CAPS, SALTED"
"MUSHROOM IN VINEGAR"
"CHAMPIGNON, FRESH"
"CUCUMBER"
"CUCUMBER, PICKLED CUCUMBER, WITHOUT ADDED SUGAR"
"PICKLED CUCUMBER, SWEET, FLAVOURED"
"PUMPKIN"
"SALAD, PICKLED PUMPKIN"
"TOMATO"
"TOMATO KETCHUP"
"TOMATO PUREE"
"SWEET PEPPER, AVERAGE"
"MIXED VEGETABLES, CARROT, CAULIFLOWER, PEA, BEAN"
"VEGETABLE JUICE"
"CHINESE CABBAGE"
"SWISS CHARD"
"AUBERGINE"
"SWEET CORN KERNELS"
"GARDEN CRESS"
"CHANTERELLE"
"FALSE MOREL"
"DILL, FRESH"
"PEA, GREEN"
"PEA, GREEN, DRIED"
"BEAN, GREEN BEAN, STRING BEAN"
"BEAN, COMMON BEAN, BROWN BEAN, WHITE BEAN, AVERAGE"
"NUT, HAZELNUT"
"NUT, WALNUT"
"CHESTNUT"
"NUT, PEANUT"
"ALMOND"
"FLOUR, SOYA FLOUR, FULL FAT"
"FLOUR, SOYA FLOUR, LOW-FAT"
"COCONUT FLAKE"
"NUT, PEANUT, SALT"
"BEANSPROUTS AND ALFALFA SPROUTS, AVERAGE"
"SESAME SEED, WITH HULL"
"SWEET PEPPER, RED"
"SWEET PEPPER, GREEN"
"SWEET PEPPER, YELLOW"
"ZUCCHINI, SUMMER SQUASH"
"TOMATO JUICE, UNSWEETENED"
"SOYA BEANS, DRIED"
"CHIVES"
"GARLIC"
"SALAD, SWEET PICKLE RELISH"
"BEAN, WHITE BEAN, BOILED"
"FROZEN VEGETABLE MIX, PEA-SWEET CORN-SWEET PEPPER"
"TOMATOES, CRUSHED, CANNED"
"LENTILS, GREEN/BROWN, DRIED"
"APPLE, DRIED"
"APRICOT, CANNED, IN SYRUP"
"APRICOT, DRIED"
"PEACH, CANNED, IN SYRUP"
"PEACH, DRIED"
"PINEAPPLE, CANNED, IN SYRUP"
"GRAPE, AVERAGE, GREEN OR RED, SEEDLESS"
"MIXED FRUIT, DRIED"
"RAISIN"
"OLIVE, AVERAGE, WITH STONE, IN OIL, GREEN/BLACK"
"FRUIT COCKTAIL, IN SYRUP"
"APPLE JUICE, UNSWEETENED, VITAMIN C"
"ORANGE JUICE, UNSWEETENED, VITAMIN C"
